"","matricula","atividade","nota.final","cluster"
"2","10E8A59E",0.312,5.8,1
"3","13085463",0.32,6.7,1
"4","1397BFB0",0.376,8.9,3
"5","14A1B78B",0.264,7,1
"6","15A3743B",0.224,7.4,1
"11","19449717",0.352,7.6,4
"12","1A25F6BF",0.32,5.6,1
"15","1B81A33E",0.432,9.1,4
"18","1DF2A12E",0.44,8.7,4
"19","210B0D56",0.296,8.4,3
"20","21604216",0.28,7.1,1
"23","22EB47AA",0.344,7.7,4
"25","2556AF8C",0.28,6,1
"27","25762941",0.304,7.8,3
"28","258DFC4B",0.376,7.6,4
"29","267C1E34",0.296,8.2,3
"30","26EA2FA",0.216,7.1,1
"31","2777E5EE",0.28,6.2,1
"32","281286BC",0.264,8.5,3
"34","2B989949",0.416,5.6,1
"37","37594F45",0.432,7.2,4
"38","3826E0DE",0.368,7.6,4
"39","390C0CCC",0.328,7,1
"40","3A1B84F4",0.416,7.6,4
"42","3FE45559",0.136,3.9,2
"44","445E679D",0.176,7.2,1
"45","4482494C",0.256,8.5,3
"46","44AF14C1",0.52,7.2,4
"48","46484C5E",0.616,7.5,4
"51","4AD45AC5",0.32,9.1,3
"52","4B929F6",0.224,8.3,3
"53","4C84103A",0.28,8.4,3
"54","4D98EE47",0.336,8.2,3
"56","51FE3830",0.304,7.2,1
"57","52C319A1",0.16,4.3,2
"59","55BA642E",0.192,7.1,1
"60","562A867F",0.36,7.9,4
"61","5978A120",0.32,8.7,3
"62","5B8F96B8",0.208,6.4,1
"66","5EA91E42",0.4,8.1,4
"69","63116A24",0.408,8.3,4
"71","673B031F",0.32,6.8,1
"72","67657F86",0.4,7.2,4
"74","6878BF80",0.24,7.6,3
"75","68FA8B73",0.192,8.3,3
"77","6A197CF",0.384,7.2,4
"81","71F3C736",0.416,8.4,4
"84","74E3795C",0.208,5.6,2
"86","77A35CA",0.312,9.2,3
"88","79CBE190",0.312,7.5,1
"91","7BCB919D",0.456,7.8,4
"92","7BF33A4A",0.304,6.5,1
"93","7C52AF6D",0.2,7.8,3
"94","7DCD514D",0.432,7.2,4
"96","ADBC154",0.192,5.8,2
"99","E3A19A",0.232,6.8,1
"100","F952D04",0.312,8.7,3
