"","dataDasSessoes","sessoes"
"1","08/08/2011",12
"2","08/09/2011",11
"3","08/10/2011",25
"4","08/11/2011",20
"5","08/12/2011",25
"6","08/13/2011",10
"7","08/14/2011",24
"8","08/15/2011",60
"9","08/16/2011",55
"10","08/17/2011",13
"11","08/18/2011",64
"12","08/19/2011",88
"13","08/20/2011",30
"14","08/21/2011",50
"15","08/22/2011",19
"16","08/23/2011",12
"17","08/24/2011",25
"18","08/25/2011",55
"19","08/26/2011",82
"20","08/27/2011",58
"21","08/28/2011",19
"22","08/29/2011",51
"23","08/30/2011",43
"24","08/31/2011",29
"25","09/01/2011",40
"26","09/02/2011",79
"27","09/03/2011",16
"28","09/04/2011",7
"29","09/05/2011",43
"30","09/06/2011",46
"31","09/07/2011",27
"32","09/08/2011",77
"33","09/09/2011",102
"34","09/10/2011",37
"35","09/11/2011",22
"36","09/12/2011",67
"37","09/13/2011",61
"38","09/14/2011",56
"39","09/15/2011",78
"40","09/16/2011",136
"41","09/17/2011",104
"42","09/18/2011",9
"43","09/19/2011",24
"44","09/20/2011",27
"45","09/21/2011",48
"46","09/22/2011",35
"47","09/23/2011",56
"48","09/24/2011",14
"49","09/25/2011",19
"50","09/26/2011",48
"51","09/27/2011",41
"52","09/28/2011",24
"53","09/29/2011",46
"54","09/30/2011",54
"55","10/01/2011",18
"56","10/02/2011",11
"57","10/03/2011",18
"58","10/04/2011",23
"59","10/05/2011",34
"60","10/06/2011",49
"61","10/07/2011",60
"62","10/08/2011",9
"63","10/09/2011",11
"64","10/10/2011",15
"65","10/11/2011",15
"66","10/12/2011",12
"67","10/13/2011",36
"68","10/14/2011",67
"69","10/15/2011",15
"70","10/16/2011",13
"71","10/17/2011",48
"72","10/18/2011",54
"73","10/19/2011",54
"74","10/20/2011",56
"75","10/21/2011",86
"76","10/22/2011",30
"77","10/23/2011",18
"78","10/24/2011",73
"79","10/25/2011",64
"80","10/26/2011",41
"81","10/27/2011",67
"82","10/28/2011",103
"83","10/29/2011",84
"84","10/30/2011",6
"85","10/31/2011",3
"86","11/01/2011",8
"87","11/02/2011",5
"88","11/03/2011",47
"89","11/04/2011",61
"90","11/05/2011",8
"91","11/06/2011",6
"92","11/07/2011",35
"93","11/08/2011",33
"94","11/09/2011",22
"95","11/10/2011",39
"96","11/11/2011",39
"97","11/12/2011",8
"98","11/13/2011",5
"99","11/14/2011",4
"100","11/15/2011",6
"101","11/16/2011",3
"102","11/17/2011",30
"103","11/18/2011",36
"104","11/19/2011",4
"105","11/20/2011",6
"106","11/21/2011",34
"107","11/22/2011",43
"108","11/23/2011",25
"109","11/24/2011",24
"110","11/25/2011",42
"111","11/26/2011",53
"112","12/03/2011",34
