"matricula","meanSession"
"107076E4",89358
"10E8A59E",89208
"13085463",109078
"1397BFB0",141540
"14A1B78B",89205
"15A3743B",119941
"15EA15E5",79649
"1706D43",48844
"1823A1FA",84239
"189E4323",67391
"19449717",56786
"1A25F6BF",147427
"1ABFFBDD",92375
"1B52DD48",10551
"1B81A33E",101886
"1C897F15",67637
"1CCD2085",99854
"1DF2A12E",126903
"210B0D56",106433
"21604216",70614
"21C00083",46359
"224511B3",65891
"22EB47AA",161882
"240164B6",50560
"2556AF8C",101319
"2561F105",16886
"25762941",151862
"258DFC4B",220306
"267C1E34",84079
"26EA2FA",72703
"2777E5EE",157682
"281286BC",90548
"28E49A9D",81049
"2B989949",147655
"32B00B44",111932
"347D5E36",141081
"37594F45",198851
"3826E0DE",206204
"390C0CCC",76552
"3A1B84F4",158262
"3BC456D5",65016
"3FE45559",12599
"4195063D",18244
"445E679D",61170
"4482494C",77909
"44AF14C1",283615
"44D029E4",59300
"46484C5E",233353
"48295835",73973
"492E11B4",39191
"4AD45AC5",110960
"4B929F6",31451
"4C84103A",75479
"4D98EE47",122894
"4DA185E9",2341
"51FE3830",205893
"52C319A1",102105
"52E571B8",22902
"55BA642E",51508
"562A867F",80624
"5978A120",93848
"5B8F96B8",62092
"5CD8B4FE",17361
"5D73E08B",95396
"5DEBE97D",55539
"5EA91E42",129867
"60BAF986",24553
"619B5433",58585
"63116A24",105086
"64B26A18",19785
"673B031F",126698
"67657F86",123887
"68151142",82944
"6878BF80",63203
"68FA8B73",82728
"69DEEC46",89984
"6A197CF",111455
"6BA5CF35",138234
"6C643AAF",22903
"70F93A3B",30100
"71F3C736",174229
"7365085E",34141
"740BC298",175888
"74E3795C",30424
"77089DA4",40340
"77A35CA",77584
"792B1580",61868
"79CBE190",117361
"79D7BD5B",163375
"7BA159DE",61361
"7BCB919D",179258
"7BF33A4A",77477
"7C52AF6D",66318
"7DCD514D",173366
"8CAB3DB",53702
"ADBC154",79804
"B30252C",20697
"B5D2F64",53711
"E3A19A",61589
"F952D04",69445
