"matricula","sumSession"
"107076E4",89358
"10E8A59E",108834
"13085463",111598
"1397BFB0",154706
"14A1B78B",89205
"15A3743B",126469
"15EA15E5",85039
"1706D43",48122
"1823A1FA",90829
"189E4323",71364
"19449717",63179
"1A25F6BF",145894
"1ABFFBDD",99527
"1B52DD48",10551
"1B81A33E",100709
"1C897F15",65610
"1CCD2085",105860
"1DF2A12E",131903
"210B0D56",106417
"21604216",70614
"21C00083",52496
"224511B3",65891
"22EB47AA",166829
"240164B6",50560
"2556AF8C",108179
"2561F105",16886
"25762941",150895
"258DFC4B",225845
"267C1E34",90253
"26EA2FA",79038
"2777E5EE",156961
"281286BC",101966
"28E49A9D",81049
"2B989949",150630
"32B00B44",118136
"347D5E36",139237
"37594F45",205741
"3826E0DE",225090
"390C0CCC",82197
"3A1B84F4",161873
"3BC456D5",60465
"3FE45559",12599
"4195063D",18244
"445E679D",61170
"4482494C",77909
"44AF14C1",287215
"44D029E4",66068
"46484C5E",246169
"48295835",73973
"492E11B4",39191
"4AD45AC5",101882
"4B929F6",31451
"4C84103A",71969
"4D98EE47",120122
"4DA185E9",2341
"51FE3830",212279
"52C319A1",115225
"52E571B8",28939
"55BA642E",57950
"562A867F",80624
"5978A120",100272
"5B8F96B8",75265
"5CD8B4FE",17361
"5D73E08B",95377
"5DEBE97D",55307
"5EA91E42",149273
"60BAF986",24553
"619B5433",56420
"63116A24",118180
"64B26A18",19785
"673B031F",120917
"67657F86",134179
"68151142",82700
"6878BF80",62609
"68FA8B73",89784
"69DEEC46",83412
"6A197CF",111410
"6BA5CF35",132192
"6C643AAF",29016
"70F93A3B",36061
"71F3C736",179774
"7365085E",34141
"740BC298",173296
"74E3795C",30424
"77089DA4",40340
"77A35CA",77312
"792B1580",59975
"79CBE190",138126
"79D7BD5B",164796
"7BA159DE",67956
"7BCB919D",185825
"7BF33A4A",77477
"7C52AF6D",66318
"7DCD514D",179815
"8CAB3DB",53702
"ADBC154",79804
"B30252C",20697
"B5D2F64",51879
"E3A19A",61589
"F952D04",69382
